id,word_name,word_language,word_difficulty
1,xilofon,romanian,easy
2,spectru,romanian,easy
3,sintaxă,romanian,easy
4,falangă,romanian,easy
5,aureolă,romanian,easy
6,saxofon,romanian,easy
7,sintagmă,romanian,easy
8,licărire,romanian,easy
9,elocvent,romanian,easy
10,antiteza,romanian,easy
11,acordeon,romanian,easy
12,paianjen,romanian,easy
13,antilopă,romanian,easy
14,pneumatic,romanian,easy
15,monetărie,romanian,easy
16,neologism,romanian,easy
17,clorofilă,romanian,easy
18,trapezoid,romanian,easy
19,nostalgie,romanian,easy
20,pneumatic,romanian,easy
21,prepeliță,romanian,easy
22,portocala,romanian,easy
23,cimpanzeu,romanian,easy
24,transplant,romanian,medium
25,stupefiant,romanian,medium
26,biblioteca,romanian,medium
27,metalurgie,romanian,medium
28,crizantemă,romanian,medium
29,românizare,romanian,medium
30,antibiotic,romanian,medium
31,cronometru,romanian,medium
32,agricultor,romanian,medium
33,coeficient,romanian,medium
34,transplant,romanian,medium
35,stupefiant,romanian,medium
36,biblioteca,romanian,medium
37,metalurgie,romanian,medium
38,crizantemă,romanian,medium
39,românizare,romanian,medium
40,antibiotic,romanian,medium
41,cronometru,romanian,medium
42,agricultor,romanian,medium
43,coeficient,romanian,medium
44,temperament,romanian,medium
45,coincidență,romanian,medium
46,radiografie,romanian,medium
47,necooperant,romanian,medium
48,fotosinteză,romanian,medium
49,regenerator,romanian,medium
50,îndemânatic,romanian,medium
51,claustrofob,romanian,medium
52,schizofrenic,romanian,medium
53,destrăbălare,romanian,medium
54,bibliografie,romanian,medium
55,complexitate,romanian,medium
56,semnalizator,romanian,medium
57,necuvântătoare,romanian,hard
58,neexperimentat,romanian,hard
59,vicepreședinte,romanian,hard
60,electrotehnică,romanian,hard
61,autoînsămânțare,romanian,hard
62,necorespunzator,romanian,hard
63,nerecunoștiință,romanian,hard
64,termorezistentă,romanian,hard
65,multidisciplinar,romanian,hard
66,multidimensional,romanian,hard
67,interdisciplinar,romanian,hard
68,inteligibilitate,romanian,hard
69,pluridimensional,romanian,hard
70,pluridisciplinar,romanian,hard
76,ability,english,easy
77,manager,english,easy
78,speaker,english,easy
79,highway,english,easy
80,storage,english,easy
81,disease,english,easy
82,society,english,easy
83,accident,english,easy
84,analysis,english,easy
85,employer,english,easy
86,shopping,english,easy
87,magazine,english,easy
88,security,english,easy
89,marriage,english,easy
90,football,english,easy
91,confusion,english,easy
92,professor,english,easy
93,apartment,english,easy
94,chemistry,english,easy
95,boyfriend,english,easy
96,secretary,english,easy
97,passenger,english,easy
98,inspector,english,easy
99,statement,english,easy
100,education,english,easy
101,department,english,medium
102,friendship,english,medium
103,university,english,medium
104,foundation,english,medium
105,psychology,english,medium
106,resolution,english,medium
107,membership,english,medium
108,population,english,medium
109,association,english,medium
110,opportunity,english,medium
111,temperature,english,medium
112,replacement,english,medium
113,recognition,english,medium
114,measurement,english,medium
115,improvement,english,medium
116,development,english,medium
117,explanation,english,medium
118,advertising,english,medium
119,championship,english,medium
120,refrigerator,english,medium
121,relationship,english,medium
122,satisfaction,english,medium
123,introduction,english,medium
124,presentation,english,medium
125,independence,english,medium
126,organization,english,medium
127,communication,english,medium
128,entertainment,english,medium
129,constellation,english,medium
130,globalization,english,medium
131,contemplation,english,medium
132,skateboarding,english,medium
133,transportation,english,hard
134,recommendation,english,hard
135,administration,english,hard
136,responsibility,english,hard
137,capitalization,english,hard
138,representative,english,hard
139,disappointment,english,hard
140,representation,english,hard
141,discrimination,english,hard
142,interdependence,english,hard
143,thermochemistry,english,hard
144,procrastination,english,hard
145,acknowledgement,english,hard
146,personification,english,hard
147,multiprogramming,english,hard
148,neurotransmitter,english,hard
149,environmentalist,english,hard
150,disqualification,english,hard
151,incomprehensible,english,hard
152,decriminalization,english,hard
153,telecommunication,english,hard
154,misinterpretation,english,hard
155,depersonalisation,english,hard
